These results were downloaded and refreshed on June      25, 2025 at 0:00 a.m. ET. / Ces résultats ont été téléchargés et rafraichis le 25 juin 2025 à 0h HE.													
Electoral district number - Numéro de la circonscription	Electoral district name	Nom de la circonscription	Type of results*	Type de résultats**	Surname - Nom de famille	Middle name(s) - Autre(s) prénom(s)	Given name - Prénom	Political affiliation	Appartenance politique	Votes obtained - Votes obtenus	% Votes obtained - Votes obtenus %	Rejected ballots - Bulletins rejetés***	Total number of ballots cast - Nombre total de votes déposés
35076	Oakville West	Oakville-Ouest	validated	validés	Gegus		Martin	Independent	Indépendant(e)	55	.1	384	60427
35076	Oakville West	Oakville-Ouest	validated	validés	Kowalchuk		Chris	Green Party	Parti Vert	363	.6	384	60427
35076	Oakville West	Oakville-Ouest	validated	validés	Meaney		JD	People's Party - PPC	Parti populaire - PPC	254	.4	384	60427
35077	Orléans	Orléans	preliminary	préliminaires	Abu Mohammad		Tafiqul	People's Party - PPC	Parti populaire - PPC	331	.4	0	78542
35077	Orléans	Orléans	preliminary	préliminaires	Arrowsmith		Arlo	Libertarian	Libertarien	301	.4	0	78542
35077	Orléans	Orléans	preliminary	préliminaires	Choudhry		Mazhar	Independent	Indépendant(e)	162	.2	0	78542
35077	Orléans	Orléans	preliminary	préliminaires	Goué		Oulai B.	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	2063	2.6	0	78542
35077	Orléans	Orléans	preliminary	préliminaires	Jacques		Jaycob	Green Party	Parti Vert	652	.8	0	78542
35077	Orléans	Orléans	preliminary	préliminaires	Lalonde		Marie-France	Liberal	Libéral	53171	67.7	0	78542
35077	Orléans	Orléans	preliminary	préliminaires	Mansour		Steve	Conservative	Conservateur	21788	27.7	0	78542
35077	Orléans	Orléans	preliminary	préliminaires	Vida		Arabella	Independent	Indépendant(e)	74	.1	0	78542
35077	Orléans	Orléans	validated	validés	Abu Mohammad		Tafiqul	People's Party - PPC	Parti populaire - PPC	331	.4	548	79351
35077	Orléans	Orléans	validated	validés	Arrowsmith		Arlo	Libertarian	Libertarien	301	.4	548	79351
35077	Orléans	Orléans	validated	validés	Choudhry		Mazhar	Independent	Indépendant(e)	162	.2	548	79351
35077	Orléans	Orléans	validated	validés	Goué		Oulai B.	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	2063	2.6	548	79351
35077	Orléans	Orléans	validated	validés	Jacques		Jaycob	Green Party	Parti Vert	652	.8	548	79351
35077	Orléans	Orléans	validated	validés	Lalonde		Marie-France	Liberal	Libéral	53146	67.4	548	79351
35077	Orléans	Orléans	validated	validés	Mansour		Steve	Conservative	Conservateur	22072	28	548	79351
35077	Orléans	Orléans	validated	validés	Vida		Arabella	Independent	Indépendant(e)	76	.1	548	79351
35078	Oshawa	Oshawa	preliminary	préliminaires	Kirkland		Rhonda	Conservative	Conservateur	32185	48.4	0	66554
35078	Oshawa	Oshawa	preliminary	préliminaires	Labelle		Sara	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	5112	7.7	0	66554
35078	Oshawa	Oshawa	preliminary	préliminaires	Mathewson		Katherine	Green Party	Parti Vert	804	1.2	0	66554
35078	Oshawa	Oshawa	preliminary	préliminaires	Ransom		Isaac	Liberal	Libéral	28453	42.8	0	66554
35078	Oshawa	Oshawa	validated	validés	Kirkland		Rhonda	Conservative	Conservateur	32131	48.2	522	67222
35078	Oshawa	Oshawa	validated	validés	Labelle		Sara	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	5112	7.7	522	67222
35078	Oshawa	Oshawa	validated	validés	Mathewson		Katherine	Green Party	Parti Vert	804	1.2	522	67222
35078	Oshawa	Oshawa	validated	validés	Ransom		Isaac	Liberal	Libéral	28653	43	522	67222
35079	Ottawa Centre	Ottawa-Centre	preliminary	préliminaires	Chabot		Andrea	CFP	PAC	275	.3	0	81364
35079	Ottawa Centre	Ottawa-Centre	preliminary	préliminaires	Chebib		Zed	Independent	Indépendant(e)	47	.1	0	81364
35079	Ottawa Centre	Ottawa-Centre	preliminary	préliminaires	D'Orsonnens		Paul	Conservative	Conservateur	12712	15.6	0	81364
35079	Ottawa Centre	Ottawa-Centre	preliminary	préliminaires	Harden		Joel	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	15906	19.5	0	81364
35079	Ottawa Centre	Ottawa-Centre	preliminary	préliminaires	Leriche		Marie-Chantal	Christian Heritage Party	Parti de l'Héritage Chrétien	240	.3	0	81364
35079	Ottawa Centre	Ottawa-Centre	preliminary	préliminaires	Naqvi		Yasir	Liberal	Libéral	51026	62.7	0	81364
35079	Ottawa Centre	Ottawa-Centre	preliminary	préliminaires	Perry		Cashton	Communist	Communiste	166	.2	0	81364
35079	Ottawa Centre	Ottawa-Centre	preliminary	préliminaires	Rosenstock		Amanda	Green Party	Parti Vert	920	1.1	0	81364
35079	Ottawa Centre	Ottawa-Centre	preliminary	préliminaires	Salmon		Mike	Independent	Indépendant(e)	72	.1	0	81364
35079	Ottawa Centre	Ottawa-Centre	validated	validés	Chabot		Andrea	CFP	PAC	268	.3	604	81942
35079	Ottawa Centre	Ottawa-Centre	validated	validés	Chebib		Zed	Independent	Indépendant(e)	47	.1	604	81942
35079	Ottawa Centre	Ottawa-Centre	validated	validés	D'Orsonnens		Paul	Conservative	Conservateur	12692	15.6	604	81942
35079	Ottawa Centre	Ottawa-Centre	validated	validés	Harden		Joel	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	15935	19.6	604	81942
35079	Ottawa Centre	Ottawa-Centre	validated	validés	Leriche		Marie-Chantal	Christian Heritage Party	Parti de l'Héritage Chrétien	234	.3	604	81942
35079	Ottawa Centre	Ottawa-Centre	validated	validés	Naqvi		Yasir	Liberal	Libéral	51026	62.7	604	81942
35079	Ottawa Centre	Ottawa-Centre	validated	validés	Perry		Cashton	Communist	Communiste	154	.2	604	81942
35079	Ottawa Centre	Ottawa-Centre	validated	validés	Rosenstock		Amanda	Green Party	Parti Vert	916	1.1	604	81942
35079	Ottawa Centre	Ottawa-Centre	validated	validés	Salmon		Mike	Independent	Indépendant(e)	66	.1	604	81942
35080	Ottawa South	Ottawa-Sud	preliminary	préliminaires	Cooper		William	Parti Rhinocéros Party	Parti Rhinocéros Party	155	.2	0	66126
35080	Ottawa South	Ottawa-Sud	preliminary	préliminaires	Dookeran		Nira	Green Party	Parti Vert	642	1	0	66126
35080	Ottawa South	Ottawa-Sud	preliminary	préliminaires	Masjedee		Hena	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	4017	6.1	0	66126
35080	Ottawa South	Ottawa-Sud	preliminary	préliminaires	McGuinty		David	Liberal	Libéral	43322	65.5	0	66126
35080	Ottawa South	Ottawa-Sud	preliminary	préliminaires	Perrier		Alex	Christian Heritage Party	Parti de l'Héritage Chrétien	257	.4	0	66126
35080	Ottawa South	Ottawa-Sud	preliminary	préliminaires	Redins		John	CFP	PAC	93	.1	0	66126
35080	Ottawa South	Ottawa-Sud	preliminary	préliminaires	Turner		Blair	Conservative	Conservateur	17640	26.7	0	66126
35080	Ottawa South	Ottawa-Sud	validated	validés	Cooper		William	Parti Rhinocéros Party	Parti Rhinocéros Party	155	.2	503	67067
35080	Ottawa South	Ottawa-Sud	validated	validés	Dookeran		Nira	Green Party	Parti Vert	642	1	503	67067
35080	Ottawa South	Ottawa-Sud	validated	validés	Masjedee		Hena	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	4017	6	503	67067
35080	Ottawa South	Ottawa-Sud	validated	validés	McGuinty		David	Liberal	Libéral	43388	65.2	503	67067
35080	Ottawa South	Ottawa-Sud	validated	validés	Perrier		Alex	Christian Heritage Party	Parti de l'Héritage Chrétien	259	.4	503	67067
35080	Ottawa South	Ottawa-Sud	validated	validés	Redins		John	CFP	PAC	93	.1	503	67067
35080	Ottawa South	Ottawa-Sud	validated	validés	Turner		Blair	Conservative	Conservateur	18010	27.1	503	67067
35081	Ottawa--Vanier--Gloucester	Ottawa--Vanier--Gloucester	preliminary	préliminaires	Benoit		Elizabeth	Independent	Indépendant(e)	233	.3	0	67667
35081	Ottawa--Vanier--Gloucester	Ottawa--Vanier--Gloucester	preliminary	préliminaires	Corcoran		Coreen	Libertarian	Libertarien	335	.5	0	67667
35081	Ottawa--Vanier--Gloucester	Ottawa--Vanier--Gloucester	preliminary	préliminaires	Fortier		Mona	Liberal	Libéral	45613	67.4	0	67667
35081	Ottawa--Vanier--Gloucester	Ottawa--Vanier--Gloucester	preliminary	préliminaires	Legeais		Christian	Marxist-Leninist	Marxiste-Léniniste	180	.3	0	67667
35081	Ottawa--Vanier--Gloucester	Ottawa--Vanier--Gloucester	preliminary	préliminaires	Oliff		Tristan	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	5121	7.6	0	67667
35081	Ottawa--Vanier--Gloucester	Ottawa--Vanier--Gloucester	preliminary	préliminaires	Proulx		Christian	Green Party	Parti Vert	1334	2	0	67667
35081	Ottawa--Vanier--Gloucester	Ottawa--Vanier--Gloucester	preliminary	préliminaires	Simms		Marty	People's Party - PPC	Parti populaire - PPC	344	.5	0	67667
35081	Ottawa--Vanier--Gloucester	Ottawa--Vanier--Gloucester	preliminary	préliminaires	Wythe		Dean	Conservative	Conservateur	14507	21.4	0	67667
35081	Ottawa--Vanier--Gloucester	Ottawa--Vanier--Gloucester	validated	validés	Benoit		Elizabeth	Independent	Indépendant(e)	238	.3	705	68888
35081	Ottawa--Vanier--Gloucester	Ottawa--Vanier--Gloucester	validated	validés	Corcoran		Coreen	Libertarian	Libertarien	338	.5	705	68888
35081	Ottawa--Vanier--Gloucester	Ottawa--Vanier--Gloucester	validated	validés	Fortier		Mona	Liberal	Libéral	45934	67.4	705	68888
35081	Ottawa--Vanier--Gloucester	Ottawa--Vanier--Gloucester	validated	validés	Legeais		Christian	Marxist-Leninist	Marxiste-Léniniste	182	.3	705	68888
35081	Ottawa--Vanier--Gloucester	Ottawa--Vanier--Gloucester	validated	validés	Oliff		Tristan	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	5164	7.6	705	68888
35081	Ottawa--Vanier--Gloucester	Ottawa--Vanier--Gloucester	validated	validés	Proulx		Christian	Green Party	Parti Vert	1345	2	705	68888
35081	Ottawa--Vanier--Gloucester	Ottawa--Vanier--Gloucester	validated	validés	Simms		Marty	People's Party - PPC	Parti populaire - PPC	349	.5	705	68888
35081	Ottawa--Vanier--Gloucester	Ottawa--Vanier--Gloucester	validated	validés	Wythe		Dean	Conservative	Conservateur	14633	21.5	705	68888
35082	Ottawa West--Nepean	Ottawa-Ouest--Nepean	preliminary	préliminaires	Armstrong		Glen	People's Party - PPC	Parti populaire - PPC	515	.8	0	68477
35082	Ottawa West--Nepean	Ottawa-Ouest--Nepean	preliminary	préliminaires	Bizjak		Josh	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	4837	7.1	0	68477
35082	Ottawa West--Nepean	Ottawa-Ouest--Nepean	preliminary	préliminaires	Dhakal		Prashanta	Green Party	Parti Vert	782	1.1	0	68477
35082	Ottawa West--Nepean	Ottawa-Ouest--Nepean	preliminary	préliminaires	Mulligan		Sean	Christian Heritage Party	Parti de l'Héritage Chrétien	275	.4	0	68477
35082	Ottawa West--Nepean	Ottawa-Ouest--Nepean	preliminary	préliminaires	Telford		Ryan	Conservative	Conservateur	18515	27	0	68477
35082	Ottawa West--Nepean	Ottawa-Ouest--Nepean	preliminary	préliminaires	Vandenbeld		Anita	Liberal	Libéral	43553	63.6	0	68477
35082	Ottawa West--Nepean	Ottawa-Ouest--Nepean	validated	validés	Armstrong		Glen	People's Party - PPC	Parti populaire - PPC	514	.8	492	68937
35082	Ottawa West--Nepean	Ottawa-Ouest--Nepean	validated	validés	Bizjak		Josh	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	4847	7.1	492	68937
35082	Ottawa West--Nepean	Ottawa-Ouest--Nepean	validated	validés	Dhakal		Prashanta	Green Party	Parti Vert	780	1.1	492	68937
35082	Ottawa West--Nepean	Ottawa-Ouest--Nepean	validated	validés	Mulligan		Sean	Christian Heritage Party	Parti de l'Héritage Chrétien	232	.3	492	68937
35082	Ottawa West--Nepean	Ottawa-Ouest--Nepean	validated	validés	Telford		Ryan	Conservative	Conservateur	18517	27.1	492	68937
35082	Ottawa West--Nepean	Ottawa-Ouest--Nepean	validated	validés	Vandenbeld		Anita	Liberal	Libéral	43555	63.6	492	68937
35083	Oxford	Oxford	preliminary	préliminaires	Baker		Cheryle	Green Party	Parti Vert	1061	1.5	0	71758
35083	Oxford	Oxford	preliminary	préliminaires	Beausoleil		Steven	People's Party - PPC	Parti populaire - PPC	637	.9	0	71758
35083	Oxford	Oxford	preliminary	préliminaires	Chambers		Matthew	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	3134	4.4	0	71758
35083	Oxford	Oxford	preliminary	préliminaires	Hilderley		David	Liberal	Libéral	27243	38	0	71758
35083	Oxford	Oxford	preliminary	préliminaires	Khanna		Arpan	Conservative	Conservateur	38132	53.1	0	71758
35083	Oxford	Oxford	preliminary	préliminaires	Van Brugge		Melanie	United Party of Canada (UP)	Parti Uni du Canada (UP)	239	.3	0	71758
35083	Oxford	Oxford	preliminary	préliminaires	Vardhan		Akshay Varun Raj	Independent	Indépendant(e)	109	.2	0	71758
35083	Oxford	Oxford	preliminary	préliminaires	Watson		Jacob	Christian Heritage Party	Parti de l'Héritage Chrétien	1203	1.7	0	71758
35083	Oxford	Oxford	validated	validés	Baker		Cheryle	Green Party	Parti Vert	897	1.3	305	71856
35083	Oxford	Oxford	validated	validés	Beausoleil		Steven	People's Party - PPC	Parti populaire - PPC	642	.9	305	71856
35083	Oxford	Oxford	validated	validés	Chambers		Matthew	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	3046	4.3	305	71856
35083	Oxford	Oxford	validated	validés	Hilderley		David	Liberal	Libéral	27311	38.2	305	71856
35083	Oxford	Oxford	validated	validés	Khanna		Arpan	Conservative	Conservateur	38191	53.4	305	71856
35083	Oxford	Oxford	validated	validés	Van Brugge		Melanie	United Party of Canada (UP)	Parti Uni du Canada (UP)	152	.2	305	71856
35083	Oxford	Oxford	validated	validés	Vardhan		Akshay Varun Raj	Independent	Indépendant(e)	109	.2	305	71856
35083	Oxford	Oxford	validated	validés	Watson		Jacob	Christian Heritage Party	Parti de l'Héritage Chrétien	1203	1.7	305	71856
35084	Parry Sound--Muskoka	Parry Sound--Muskoka	preliminary	préliminaires	Aitchison		Scott	Conservative	Conservateur	33648	52	0	64652
35084	Parry Sound--Muskoka	Parry Sound--Muskoka	preliminary	préliminaires	Hay		Heather	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	2300	3.6	0	64652
35084	Parry Sound--Muskoka	Parry Sound--Muskoka	preliminary	préliminaires	Pereira		Isabel	People's Party - PPC	Parti populaire - PPC	1048	1.6	0	64652
35084	Parry Sound--Muskoka	Parry Sound--Muskoka	preliminary	préliminaires	Sabbagh		Geordie	Liberal	Libéral	27656	42.8	0	64652
35084	Parry Sound--Muskoka	Parry Sound--Muskoka	validated	validés	Aitchison		Scott	Conservative	Conservateur	33742	52.2	353	65006
35084	Parry Sound--Muskoka	Parry Sound--Muskoka	validated	validés	Hay		Heather	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	2300	3.6	353	65006
35084	Parry Sound--Muskoka	Parry Sound--Muskoka	validated	validés	Pereira		Isabel	People's Party - PPC	Parti populaire - PPC	1048	1.6	353	65006
35084	Parry Sound--Muskoka	Parry Sound--Muskoka	validated	validés	Sabbagh		Geordie	Liberal	Libéral	27563	42.6	353	65006
35085	Perth--Wellington	Perth--Wellington	preliminary	préliminaires	Baker		Wayne	People's Party - PPC	Parti populaire - PPC	1069	1.7	0	64100
35085	Perth--Wellington	Perth--Wellington	preliminary	préliminaires	Kruchkywich		Kevin	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	2909	4.5	0	64100
35085	Perth--Wellington	Perth--Wellington	preliminary	préliminaires	Mackey		David	Liberal	Libéral	26150	40.8	0	64100
35085	Perth--Wellington	Perth--Wellington	preliminary	préliminaires	Nater		John	Conservative	Conservateur	33972	53	0	64100
35085	Perth--Wellington	Perth--Wellington	validated	validés	Baker		Wayne	People's Party - PPC	Parti populaire - PPC	1069	1.7	339	64431
35085	Perth--Wellington	Perth--Wellington	validated	validés	Kruchkywich		Kevin	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	2909	4.5	339	64431
35085	Perth--Wellington	Perth--Wellington	validated	validés	Mackey		David	Liberal	Libéral	26142	40.8	339	64431
35085	Perth--Wellington	Perth--Wellington	validated	validés	Nater		John	Conservative	Conservateur	33972	53	339	64431
35086	Peterborough	Peterborough	preliminary	préliminaires	Ferreri		Michelle	Conservative	Conservateur	32446	41	0	79059
35086	Peterborough	Peterborough	preliminary	préliminaires	Grove		Matthew	Christian Heritage Party	Parti de l'Héritage Chrétien	168	.2	0	79059
35086	Peterborough	Peterborough	preliminary	préliminaires	Harrison		Emma	Liberal	Libéral	42890	54.3	0	79059
35086	Peterborough	Peterborough	preliminary	préliminaires	Jewell		Chad	Independent	Indépendant(e)	222	.3	0	79059
35086	Peterborough	Peterborough	preliminary	préliminaires	McMaster		Jami-Leigh	People's Party - PPC	Parti populaire - PPC	272	.3	0	79059
35086	Peterborough	Peterborough	preliminary	préliminaires	Raine		Jazmine	Green Party	Parti Vert	655	.8	0	79059
35086	Peterborough	Peterborough	preliminary	préliminaires	Ray		Heather	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	2406	3	0	79059
35086	Peterborough	Peterborough	validated	validés	Ferreri		Michelle	Conservative	Conservateur	32446	41	314	79373
35086	Peterborough	Peterborough	validated	validés	Grove		Matthew	Christian Heritage Party	Parti de l'Héritage Chrétien	168	.2	314	79373
35086	Peterborough	Peterborough	validated	validés	Harrison		Emma	Liberal	Libéral	42890	54.3	314	79373
35086	Peterborough	Peterborough	validated	validés	Jewell		Chad	Independent	Indépendant(e)	222	.3	314	79373
35086	Peterborough	Peterborough	validated	validés	McMaster		Jami-Leigh	People's Party - PPC	Parti populaire - PPC	272	.3	314	79373
35086	Peterborough	Peterborough	validated	validés	Raine		Jazmine	Green Party	Parti Vert	655	.8	314	79373
35086	Peterborough	Peterborough	validated	validés	Ray		Heather	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	2406	3	314	79373
35087	Pickering--Brooklin	Pickering--Brooklin	preliminary	préliminaires	Nathan		Juanita	Liberal	Libéral	38548	54.1	0	71191
35087	Pickering--Brooklin	Pickering--Brooklin	preliminary	préliminaires	Nye		Jamie	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1838	2.6	0	71191
35087	Pickering--Brooklin	Pickering--Brooklin	preliminary	préliminaires	Rana		Zainab	Centrist	Centriste	322	.5	0	71191
35087	Pickering--Brooklin	Pickering--Brooklin	preliminary	préliminaires	Robinson		Lisa	People's Party - PPC	Parti populaire - PPC	639	.9	0	71191
35087	Pickering--Brooklin	Pickering--Brooklin	preliminary	préliminaires	Vianga		Alicia	Conservative	Conservateur	29309	41.2	0	71191
35087	Pickering--Brooklin	Pickering--Brooklin	preliminary	préliminaires	Wood		Andrea	Green Party	Parti Vert	535	.8	0	71191
35087	Pickering--Brooklin	Pickering--Brooklin	validated	validés	Nathan		Juanita	Liberal	Libéral	38578	54.2	371	71603
35087	Pickering--Brooklin	Pickering--Brooklin	validated	validés	Nye		Jamie	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1838	2.6	371	71603
35087	Pickering--Brooklin	Pickering--Brooklin	validated	validés	Rana		Zainab	Centrist	Centriste	322	.5	371	71603
35087	Pickering--Brooklin	Pickering--Brooklin	validated	validés	Robinson		Lisa	People's Party - PPC	Parti populaire - PPC	639	.9	371	71603
35087	Pickering--Brooklin	Pickering--Brooklin	validated	validés	Vianga		Alicia	Conservative	Conservateur	29320	41.2	371	71603
35087	Pickering--Brooklin	Pickering--Brooklin	validated	validés	Wood		Andrea	Green Party	Parti Vert	535	.8	371	71603
35088	Prescott--Russell--Cumberland	Prescott--Russell--Cumberland	preliminary	préliminaires	Finlay		Ryder	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1710	2.4	0	70372
35088	Prescott--Russell--Cumberland	Prescott--Russell--Cumberland	preliminary	préliminaires	Mingarelli		Giovanna	Liberal	Libéral	38392	54.6	0	70372
35088	Prescott--Russell--Cumberland	Prescott--Russell--Cumberland	preliminary	préliminaires	Perrier		Deborah	People's Party - PPC	Parti populaire - PPC	767	1.1	0	70372
35088	Prescott--Russell--Cumberland	Prescott--Russell--Cumberland	preliminary	préliminaires	Riden		Thaila	Green Party	Parti Vert	842	1.2	0	70372
35088	Prescott--Russell--Cumberland	Prescott--Russell--Cumberland	preliminary	préliminaires	St-Louis		Jason	Independent	Indépendant(e)	239	.3	0	70372
35088	Prescott--Russell--Cumberland	Prescott--Russell--Cumberland	preliminary	préliminaires	Séguin		Julie	Conservative	Conservateur	28422	40.4	0	70372
35088	Prescott--Russell--Cumberland	Prescott--Russell--Cumberland	validated	validés	Finlay		Ryder	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1730	2.4	530	71923
35088	Prescott--Russell--Cumberland	Prescott--Russell--Cumberland	validated	validés	Mingarelli		Giovanna	Liberal	Libéral	39110	54.8	530	71923
35088	Prescott--Russell--Cumberland	Prescott--Russell--Cumberland	validated	validés	Perrier		Deborah	People's Party - PPC	Parti populaire - PPC	725	1	530	71923
35088	Prescott--Russell--Cumberland	Prescott--Russell--Cumberland	validated	validés	Riden		Thaila	Green Party	Parti Vert	787	1.1	530	71923
35088	Prescott--Russell--Cumberland	Prescott--Russell--Cumberland	validated	validés	St-Louis		Jason	Independent	Indépendant(e)	236	.3	530	71923
35088	Prescott--Russell--Cumberland	Prescott--Russell--Cumberland	validated	validés	Séguin		Julie	Conservative	Conservateur	28805	40.3	530	71923
35089	Richmond Hill South	Richmond Hill-Sud	preliminary	préliminaires	Astaraki		Ebrahim	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1053	1.8	0	58577
35089	Richmond Hill South	Richmond Hill-Sud	preliminary	préliminaires	Ho		Vincent	Conservative	Conservateur	30620	52.3	0	58577
35089	Richmond Hill South	Richmond Hill-Sud	preliminary	préliminaires	Jowhari		Majid	Liberal	Libéral	25991	44.4	0	58577
35089	Richmond Hill South	Richmond Hill-Sud	preliminary	préliminaires	Lam		Alison	Green Party	Parti Vert	496	.8	0	58577
35089	Richmond Hill South	Richmond Hill-Sud	preliminary	préliminaires	Sideris		Joshua	People's Party - PPC	Parti populaire - PPC	245	.4	0	58577
35089	Richmond Hill South	Richmond Hill-Sud	preliminary	préliminaires	Wang		Yan	Independent	Indépendant(e)	128	.2	0	58577
35089	Richmond Hill South	Richmond Hill-Sud	preliminary	préliminaires	Yeung		Juni	CFP	PAC	44	.1	0	58577
35089	Richmond Hill South	Richmond Hill-Sud	validated	validés	Astaraki		Ebrahim	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1054	1.8	531	59115
35089	Richmond Hill South	Richmond Hill-Sud	validated	validés	Ho		Vincent	Conservative	Conservateur	30615	52.3	531	59115
35089	Richmond Hill South	Richmond Hill-Sud	validated	validés	Jowhari		Majid	Liberal	Libéral	26009	44.4	531	59115
35089	Richmond Hill South	Richmond Hill-Sud	validated	validés	Lam		Alison	Green Party	Parti Vert	495	.8	531	59115
35089	Richmond Hill South	Richmond Hill-Sud	validated	validés	Sideris		Joshua	People's Party - PPC	Parti populaire - PPC	244	.4	531	59115
35089	Richmond Hill South	Richmond Hill-Sud	validated	validés	Wang		Yan	Independent	Indépendant(e)	124	.2	531	59115
35089	Richmond Hill South	Richmond Hill-Sud	validated	validés	Yeung		Juni	CFP	PAC	43	.1	531	59115
35090	Sarnia--Lambton--Bkejwanong	Sarnia--Lambton--Bkejwanong	preliminary	préliminaires	Boudreau		Jacques Y	Libertarian	Libertarien	990	1.3	0	76328
35090	Sarnia--Lambton--Bkejwanong	Sarnia--Lambton--Bkejwanong	preliminary	préliminaires	Chan		Lo-Anne	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	4079	5.3	0	76328
35090	Sarnia--Lambton--Bkejwanong	Sarnia--Lambton--Bkejwanong	preliminary	préliminaires	Everaert		Brian	People's Party - PPC	Parti populaire - PPC	1136	1.5	0	76328
35090	Sarnia--Lambton--Bkejwanong	Sarnia--Lambton--Bkejwanong	preliminary	préliminaires	Gladu		Marilyn	Conservative	Conservateur	40605	53.2	0	76328
35090	Sarnia--Lambton--Bkejwanong	Sarnia--Lambton--Bkejwanong	preliminary	préliminaires	Lamore		Mark	Christian Heritage Party	Parti de l'Héritage Chrétien	437	.6	0	76328
35090	Sarnia--Lambton--Bkejwanong	Sarnia--Lambton--Bkejwanong	preliminary	préliminaires	Mitchell		Tony	Parti Rhinocéros Party	Parti Rhinocéros Party	201	.3	0	76328
35090	Sarnia--Lambton--Bkejwanong	Sarnia--Lambton--Bkejwanong	preliminary	préliminaires	Vandenberg		George	Liberal	Libéral	28880	37.8	0	76328
35090	Sarnia--Lambton--Bkejwanong	Sarnia--Lambton--Bkejwanong	validated	validés	Boudreau		Jacques Y	Libertarian	Libertarien	990	1.3	377	76766
35090	Sarnia--Lambton--Bkejwanong	Sarnia--Lambton--Bkejwanong	validated	validés	Chan		Lo-Anne	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	4088	5.4	377	76766
35090	Sarnia--Lambton--Bkejwanong	Sarnia--Lambton--Bkejwanong	validated	validés	Everaert		Brian	People's Party - PPC	Parti populaire - PPC	1136	1.5	377	76766
35090	Sarnia--Lambton--Bkejwanong	Sarnia--Lambton--Bkejwanong	validated	validés	Gladu		Marilyn	Conservative	Conservateur	40597	53.1	377	76766
35090	Sarnia--Lambton--Bkejwanong	Sarnia--Lambton--Bkejwanong	validated	validés	Lamore		Mark	Christian Heritage Party	Parti de l'Héritage Chrétien	437	.6	377	76766
35090	Sarnia--Lambton--Bkejwanong	Sarnia--Lambton--Bkejwanong	validated	validés	Mitchell		Tony	Parti Rhinocéros Party	Parti Rhinocéros Party	201	.3	377	76766
35090	Sarnia--Lambton--Bkejwanong	Sarnia--Lambton--Bkejwanong	validated	validés	Vandenberg		George	Liberal	Libéral	28940	37.9	377	76766
35091	Sault Ste. Marie--Algoma	Sault Ste. Marie--Algoma	preliminary	préliminaires	Collins		James	Christian Heritage Party	Parti de l'Héritage Chrétien	297	.5	0	63962
35091	Sault Ste. Marie--Algoma	Sault Ste. Marie--Algoma	preliminary	préliminaires	Eshkibok		Robyn Kiki	Green Party	Parti Vert	531	.8	0	63962
35091	Sault Ste. Marie--Algoma	Sault Ste. Marie--Algoma	preliminary	préliminaires	Mayer		Laura	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	4215	6.6	0	63962
35091	Sault Ste. Marie--Algoma	Sault Ste. Marie--Algoma	preliminary	préliminaires	Sheehan		Terry	Liberal	Libéral	30271	47.3	0	63962
35091	Sault Ste. Marie--Algoma	Sault Ste. Marie--Algoma	preliminary	préliminaires	Stevenson		Hugh	Conservative	Conservateur	28648	44.8	0	63962
35091	Sault Ste. Marie--Algoma	Sault Ste. Marie--Algoma	validated	validés	Collins		James	Christian Heritage Party	Parti de l'Héritage Chrétien	305	.5	354	65671
35091	Sault Ste. Marie--Algoma	Sault Ste. Marie--Algoma	validated	validés	Eshkibok		Robyn Kiki	Green Party	Parti Vert	541	.8	354	65671
35091	Sault Ste. Marie--Algoma	Sault Ste. Marie--Algoma	validated	validés	Mayer		Laura	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	4327	6.6	354	65671
35091	Sault Ste. Marie--Algoma	Sault Ste. Marie--Algoma	validated	validés	Sheehan		Terry	Liberal	Libéral	30936	47.4	354	65671
