These results were downloaded and refreshed on June      25, 2025 at 0:00 a.m. ET. / Ces résultats ont été téléchargés et rafraichis le 25 juin 2025 à 0h HE.													
Electoral district number - Numéro de la circonscription	Electoral district name	Nom de la circonscription	Type of results*	Type de résultats**	Surname - Nom de famille	Middle name(s) - Autre(s) prénom(s)	Given name - Prénom	Political affiliation	Appartenance politique	Votes obtained - Votes obtenus	% Votes obtained - Votes obtenus %	Rejected ballots - Bulletins rejetés***	Total number of ballots cast - Nombre total de votes déposés
11004	Malpeque	Malpeque	validated	validés	Mackay		Cassie	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	371	1.4	216	27099
12001	Acadie--Annapolis	Acadie--Annapolis	preliminary	préliminaires	Deon		Ingrid	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1769	3.7	0	48299
12001	Acadie--Annapolis	Acadie--Annapolis	preliminary	préliminaires	LeBlanc		Ronnie	Liberal	Libéral	22491	46.6	0	48299
12001	Acadie--Annapolis	Acadie--Annapolis	preliminary	préliminaires	Piggott		Matthew	Green Party	Parti Vert	583	1.2	0	48299
12001	Acadie--Annapolis	Acadie--Annapolis	preliminary	préliminaires	Strange		James	People's Party - PPC	Parti populaire - PPC	432	.9	0	48299
12001	Acadie--Annapolis	Acadie--Annapolis	preliminary	préliminaires	d'Entremont		Chris	Conservative	Conservateur	23024	47.7	0	48299
12001	Acadie--Annapolis	Acadie--Annapolis	validated	validés	Deon		Ingrid	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1768	3.7	311	48609
12001	Acadie--Annapolis	Acadie--Annapolis	validated	validés	LeBlanc		Ronnie	Liberal	Libéral	22491	46.6	311	48609
12001	Acadie--Annapolis	Acadie--Annapolis	validated	validés	Piggott		Matthew	Green Party	Parti Vert	583	1.2	311	48609
12001	Acadie--Annapolis	Acadie--Annapolis	validated	validés	Strange		James	People's Party - PPC	Parti populaire - PPC	432	.9	311	48609
12001	Acadie--Annapolis	Acadie--Annapolis	validated	validés	d'Entremont		Chris	Conservative	Conservateur	23024	47.7	311	48609
12002	Cape Breton--Canso--Antigonish	Cape Breton--Canso--Antigonish	preliminary	préliminaires	Battiste		Jaime	Liberal	Libéral	24634	51.5	0	47827
12002	Cape Breton--Canso--Antigonish	Cape Breton--Canso--Antigonish	preliminary	préliminaires	Clark		Joanna	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1914	4	0	47827
12002	Cape Breton--Canso--Antigonish	Cape Breton--Canso--Antigonish	preliminary	préliminaires	MacMaster		Allan	Conservative	Conservateur	20714	43.3	0	47827
12002	Cape Breton--Canso--Antigonish	Cape Breton--Canso--Antigonish	preliminary	préliminaires	Smyth		Ryan	People's Party - PPC	Parti populaire - PPC	337	.7	0	47827
12002	Cape Breton--Canso--Antigonish	Cape Breton--Canso--Antigonish	preliminary	préliminaires	Wall		Rebecca	Independent	Indépendant(e)	228	.5	0	47827
12002	Cape Breton--Canso--Antigonish	Cape Breton--Canso--Antigonish	validated	validés	Battiste		Jaime	Liberal	Libéral	24908	51.6	288	48566
12002	Cape Breton--Canso--Antigonish	Cape Breton--Canso--Antigonish	validated	validés	Clark		Joanna	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1930	4	288	48566
