Constituency,Province / Territory,Honorific Title,First Name,Last Name,Political Affiliation
Kitchener South—Hespeler,Ontario,,Matt,Strauss,Conservative
Kitchener—Conestoga,Ontario,,Tim,Louis,Liberal
La Pointe-de-l'Île,Quebec,,Mario,Beaulieu,Bloc Québécois
La Prairie—Atateken,Quebec,,Jacques,Ramsay,Liberal
Labrador,Newfoundland and Labrador,,Philip,Earle,Liberal
Lac-Saint-Jean,Quebec,,Alexis,Brunelle-Duceppe,Bloc Québécois
Lac-Saint-Louis,Quebec,Hon.,Francis,Scarpaleggia,Liberal
Lakeland,Alberta,,Shannon,Stubbs,Conservative
Lanark—Frontenac,Ontario,,Scott,Reid,Conservative
Langley Township—Fraser Heights,British Columbia,,Tako,Van Popta,Conservative
LaSalle—Émard—Verdun,Quebec,,Claude,Guay,Liberal
Laurentides—Labelle,Quebec,,Marie-Hélène,Gaudreau,Bloc Québécois
Laurier—Sainte-Marie,Quebec,Hon.,Steven,Guilbeault,Liberal
Laval—Les Îles,Quebec,,Fayçal,El-Khoury,Liberal
Leduc—Wetaskiwin,Alberta,Hon.,Mike,Lake,Conservative
Leeds—Grenville—Thousand Islands—Rideau Lakes,Ontario,,Michael,Barrett,Conservative
Les Pays-d'en-Haut,Quebec,,Tim,Watchorn,Liberal
Lethbridge,Alberta,,Rachael,Thomas,Conservative
Lévis—Lotbinière,Quebec,,Jacques,Gourde,Conservative
London Centre,Ontario,,Peter,Fragiskatos,Liberal
London West,Ontario,Hon.,Arielle,Kayabaga,Liberal
London—Fanshawe,Ontario,,Kurt,Holman,Conservative
Long Range Mountains,Newfoundland and Labrador,,Carol,Anstey,Conservative
Longueuil—Charles-LeMoyne,Quebec,,Sherry,Romanado,Liberal
Longueuil—Saint-Hubert,Quebec,,Natilien,Joseph,Liberal
Louis-Hébert,Quebec,Hon.,Joël,Lightbound,Liberal
Louis-Saint-Laurent—Akiawenhrahk,Quebec,,Gérard,Deltell,Conservative
Madawaska—Restigouche,New Brunswick,,Guillaume,Deschênes-Thériault,Liberal
Malpeque,Prince Edward Island,Hon.,Heath,MacDonald,Liberal
Marc-Aurèle-Fortin,Quebec,,Carlos,Leitão,Liberal
Markham—Stouffville,Ontario,Hon.,Helena,Jaczek,Liberal
Markham—Thornhill,Ontario,Hon.,Tim,Hodgson,Liberal
Markham—Unionville,Ontario,,Michael,Ma,Conservative
Medicine Hat—Cardston—Warner,Alberta,,Glen,Motz,Conservative
Mégantic—L'Érable—Lotbinière,Quebec,,Luc,Berthold,Conservative
Middlesex—London,Ontario,,Lianne,Rood,Conservative
Milton East—Halton Hills South,Ontario,,Kristina,Tesser Derksen,Liberal
Mirabel,Quebec,,Jean-Denis,Garon,Bloc Québécois
Miramichi—Grand Lake,New Brunswick,,Mike,Dawson,Conservative
Mission—Matsqui—Abbotsford,British Columbia,,Brad,Vis,Conservative
Mississauga Centre,Ontario,,Fares,Al Soud,Liberal
Mississauga East—Cooksville,Ontario,,Peter,Fonseca,Liberal
Mississauga—Erin Mills,Ontario,,Iqra,Khalid,Liberal
